COD_ACIDENTE;DATA;LOG1;LOG2;NUMERO;BAIRRO;AMC;NATUREZA;ILUMINACAO;TEMPO;SUPERFICIEPISTA;TIPOCRUZAMENTO;CONTROLETRAFEGO;USOSOLO;MORTOS;FERIDOS;ILESOS;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL;COORDENADAS
365794;2020-12-31 07:40:00;AVENIDA SGT HERMINIO SAMPAIO, ;RUA MAJ VERISSIMO, ; ;;;Colisão;Luz do Dia;;;;;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.561327 -3.726516);
365793;2020-12-31 07:27:00;RUA STA ELISA D21, 947;, ; 947;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.561833 -3.70561);
365792;2020-12-31 07:10:00;RUA VINTE E QUATRO DE MAIO, ;RUA PEDRO I, ; ;;;Queda;Luz do Dia;;;Cruz;Pare;Cruzamento;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.532952 -3.72983);
365791;2020-12-31 07:02:00;AVENIDA PERIMETRAL, ;, ; ;;;Choque c/ Obstáculo Fixo;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;1;0;0;0;0;0;0;0;0;(0 0);
365790;2020-12-31 06:39:00;RUA DEMETRIO MENEZES, 3622;, ; 3622;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;3;0;1;1;0;0;0;0;0;0;0;0;(-38.584166 -3.735123);
365242;2020-12-31 06:30:00;AVENIDA BEZERRA DE MENEZES, ;, ; ;;;Colisão Transversal;Luz do Dia;Chuva;Molhada;Meio de Quadra;;Longo da via;0;2;1;2;1;0;0;0;0;0;0;0;0;(0 0);
364128;2020-12-31 04:30:00;RD BR 116, 9701;, ; 9701;;;Choque c/ Obstáculo Fixo;;;;Meio de Quadra;;Longo da via;1;0;0;1;0;0;0;0;0;0;0;0;0;(-38.504803 -3.831154);
365789;2020-12-31 00:33:00;AVENIDA MON AMARILIO RODRIGUES, 85;, ; 85;;;Queda;;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.5241838 -3.83523169);
365788;2020-12-31 00:24:00;AVENIDA EDUARDO GIRAO, 1519;, ; 1519;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.53542 -3.75136);
365787;2020-12-31 00:09:00;AVENIDA C CJ CEARA, ;AVENIDA H CJ CEARA, ; ;;;Colisão;;;;Outros;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.609547 -3.762711);
365054;2020-12-30 20:00:00;RUA CURITIBA, ;RUA VITORIA (AV. PERIMETRAL), ; ;;;Colisão;Via Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.58536 -3.75919);
365786;2020-12-30 19:10:00;RUA CEL FERRAZ, 280;, ; 280;;;Colisão;;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.5233796 -3.72839241);
365784;2020-12-30 18:41:00;AVENIDA PRS CASTELO BRANCO, 3422;, ; 3422;;;Atropelamento;;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(-38.561861 -3.71028663);
365785;2020-12-30 18:41:00;AVENIDA PRS CASTELO BRANCO, 3426;, ; 3426;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.5619041 -3.71027667);
365783;2020-12-30 18:25:00;RUA CACILDA BECKER, 27;, ; 27;;;Atropelamento;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(-38.58724 -3.77534);
365782;2020-12-30 18:00:00;RUA CEL FERRAZ, 230;, ; 230;;;Queda;Anoitecer;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.5235166 -3.72882586);
365781;2020-12-30 17:04:00;RUA BAR ARACATI, 108;, ; 108;;;Colisão;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.50866 -3.72251);
365056;2020-12-30 16:55:00;AVENIDA AGUANAMBI, 1953;, ; 1953;;;Colisão;Luz do Dia;Bom;Seca;Meio de Quadra;Não Há Controle;Longo da via;0;1;2;1;1;0;1;0;0;0;0;0;0;(-38.523451 -3.753844);
365780;2020-12-30 16:20:00;RUA PRO LINO ENCARNACAO, 912;, ; 912;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.560182 -3.743542);
365779;2020-12-30 16:15:00;AVENIDA B CJ CEARA, 650;, ; 650;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;0;2;0;0;0;0;0;0;0;0;(-38.606652 -3.767396);
365778;2020-12-30 15:35:00;AVENIDA ALANIS MARIA LAURINDO DE OLIVEIRA, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365777;2020-12-30 13:11:00;AVENIDA GAL OSORIO DE PAIVA, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365217;2020-12-30 12:55:00;AVENIDA JOSE BASTOS, ;RUA TAVARES IRACEMA, ; ;;;Colisão Traseira;Luz do Dia;Bom;Seca;T;Não Há Controle;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.55277 -3.752313);
365776;2020-12-30 12:32:00;RUA 15 DE NOVEMBRO, 600;, ; 600;;;Queda;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.55471 -3.76932);
365216;2020-12-30 11:40:00;AVENIDA ENG HUMBERTO MONTE, ;RUA URUGUAI, ; ;;;Colisão Transversal;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;0;1;1;1;1;0;0;0;0;0;0;0;0;(-38.562171 -3.747076);
364652;2020-12-30 11:30:00;AVENIDA WASHINGTON SOARES, ;, ; ;;;Colisão;Luz do Dia;;;;;Longo da via;0;0;2;1;1;0;0;0;0;0;0;0;0;(0 0);
365775;2020-12-30 11:13:00;AVENIDA GAL OSORIO DE PAIVA, 7611;, ; 7611;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.615573 -3.818693);
365055;2020-12-30 10:50:00;AVENIDA DR SILAS MUNGUBA, 780;, ; 780;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;3;0;0;3;0;0;0;0;0;0;0;0;(-38.55906 -3.78052);
365774;2020-12-30 10:45:00;RUA VERBENA, 922;, ; 922;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.58959 -3.78382);
365773;2020-12-30 10:31:00;AVENIDA GAL OSORIO DE PAIVA, 297;, ; 297;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(-38.5654739 -3.77476442);
365772;2020-12-30 10:04:00;RUA ESTADO DO RIO, 471;, ; 471;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(-38.568106 -3.754149);
365771;2020-12-30 09:10:00;RUA SILVINHA TELES D69, ;RUA CANGURU, ; ;;;Atropelamento;Luz do Dia;;;;;Cruzamento;0;2;0;0;1;0;0;0;0;0;0;0;0;(-38.526619 -3.84841);
365770;2020-12-30 09:05:00;RUA EDUARDO PORTO, 80;, ; 80;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.4961699 -3.83255295);
365215;2020-12-30 08:45:00;AVENIDA ANTONIO SALES, ;RUA JOAO CORDEIRO, ; ;;;Colisão Transversal;Luz do Dia;Nublado;Molhada;Cruz;Semáforo;Cruzamento;0;1;1;1;1;0;0;0;0;0;0;0;0;(-38.518068 -3.740588);
365769;2020-12-30 08:34:00;RUA AMAZONAS, ;RUA ESPIRITO SANTO, ; ;;;Colisão;Luz do Dia;;;Cruz;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.567217 -3.751391);
365768;2020-12-30 08:26:00;RUA PDE GUERRA, 1350;, ; 1350;;;Queda;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.5561435 -3.7386185);
365767;2020-12-30 07:29:00;AVENIDA ROGACIANO LEITE, 1040;, ; 1040;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.49672 -3.76687);
365766;2020-12-30 07:18:00;RUA ALBERTO MAGNO, 115;, ; 115;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.54105 -3.75474);
365765;2020-12-30 07:04:00;AVENIDA L CJ JOSE WALTER, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365043;2020-12-29 22:50:00;AVENIDA ANTONIO SALES, 3177;, ; 3177;;;Colisão;;;;Meio de Quadra;;Longo da via;0;3;0;2;1;0;0;0;0;0;0;0;0;(-38.495535 -3.747586);
365214;2020-12-29 22:30:00;RUA BENTO ALBUQUERQUE, ;RUA DES WALDETARIO P MOTA, ; ;;;Colisão Transversal;;Bom;;Cruz;Semáforo;Cruzamento;0;2;0;0;2;0;0;0;0;0;0;0;0;(-38.484685 -3.743274);
365764;2020-12-29 21:32:00;AVENIDA BEIRA MAR, ;, ; ;;;Colisão;;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(0 0);
365763;2020-12-29 20:09:00;AVENIDA SEN FERNANDES TAVORA, 2433;, ; 2433;;;Queda;;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.593889 -3.755953);
365042;2020-12-29 20:00:00;RUA POMPILIO GOMES, ;, ; ;;;Colisão;Via Iluminada;Bom;Seca;Meio de Quadra;Semáforo Intermitente;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
364115;2020-12-29 19:58:00;AVENIDA PRS CASTELO BRANCO, ;RUA SEN POMPEU, ; ;;;Colisão Transversal;;;;T;Não Há Controle;Cruzamento;1;0;1;0;1;0;0;0;0;1;0;0;0;(-38.527917 -3.72107);
365762;2020-12-29 19:54:00;AVENIDA PRS CASTELO BRANCO, ;, ; ;;;Atropelamento;;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(0 0);
365211;2020-12-29 19:00:00;AVENIDA HIS RAIMUNDO GIRAO, ;RUA FRANCISCO DIAS RIBEIRO, ; ;;;Colisão Lateral;Via Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;0;3;0;0;3;0;0;0;0;0;0;0;0;(-38.504397 -3.724024);
365761;2020-12-29 18:40:00;RUA ENG EDMUNDO ALMEIDA FILHO, ;RUA 13 DE ABRIL, ; ;;;Queda;;;;T;Não Há Controle;Cruzamento;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.530505 -3.764735);
365760;2020-12-29 18:21:00;RUA NOGUEIRA CRUZ, 708;, ; 708;;;Atropelamento;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(-38.46818 -3.72639);
364653;2020-12-29 16:40:00;RD CE-040, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;0;2;0;2;0;0;0;0;0;0;0;0;(-38.48246582 -3.834450897);
365759;2020-12-29 16:24:00;RUA ARARIUS, 200;, ; 200;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;1;0;0;0;0;0;0;(-38.51383 -3.7217007);
365758;2020-12-29 15:16:00;RUA VINTE E QUATRO DE MAIO, 2400;, ; 2400;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365757;2020-12-29 14:35:00;RUA PEDRO MELO, 74;, ; 74;;;Queda;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;1;0;0;0;(-38.58572 -3.74334);
365047;2020-12-29 14:15:00;AVENIDA BEIRA MAR, ;RUA JOAO CORDEIRO, ; ;;;Colisão;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;0;0;2;0;2;0;0;0;0;0;0;0;0;(-38.51141 -3.720256);
365756;2020-12-29 13:59:00;RUA CON DE CASTRO, ;RUA BERNARDINO CAMPOS, ; ;;;Colisão;Luz do Dia;;;T;Semáforo;Cruzamento;0;2;0;1;0;0;1;0;0;0;0;0;0;(-38.58835 -3.80103);
365755;2020-12-29 13:42:00;RUA ESPIRITO SANTO, 20;, ; 20;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.565764 -3.749181);
365213;2020-12-29 13:40:00;AVENIDA FRE CIRILO, 4186;, ; 4186;;;Colisão Traseira;Luz do Dia;Bom;Seca;Meio de Quadra;Semáforo;Longo da via;0;1;1;1;1;0;0;0;0;0;0;0;0;(-38.495969667 -3.820634083);
365754;2020-12-29 13:01:00;RUA FRE VIDAL, ;AVENIDA PONTES VIEIRA, ; ;;;Colisão;Luz do Dia;;;T;Pare;Cruzamento;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.518209 -3.753282);
365753;2020-12-29 10:36:00;RUA JULIO ABREU, ;AVENIDA ALM HENRIQUE SABOIA, ; ;;;Colisão;Luz do Dia;;;Cruz;Semáforo;Cruzamento;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.485245 -3.736144);
365752;2020-12-29 10:12:00;RUA PRO SILAS RIBEIRO, ;, ; ;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(0 0);
365751;2020-12-29 10:05:00;AVENIDA ODILON GUIMARAES, 3455;, ; 3455;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.4699503 -3.81596812);
365045;2020-12-29 09:15:00;AVENIDA CEL CARVALHO, ;AVENIDA MAJ ASSIS, ; ;;;Colisão;Luz do Dia;Bom;Seca;Cruz;Semáforo;Cruzamento;0;1;1;1;0;0;1;0;0;0;0;0;0;(-38.586255 -3.723796);
365040;2020-12-29 09:00:00;RUA MON HIPOLITO BRASIL, ;RUA PRO HERIBALDO COSTA, ; ;;;Colisão Traseira;Luz do Dia;Bom;Seca;Cruz;Semáforo;Cruzamento;0;1;2;1;2;0;0;0;0;0;0;0;0;(-38.582275 -3.757069);
365750;2020-12-29 08:01:00;AVENIDA CEL CARVALHO, 2420;, ; 2420;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;1;0;0;0;0;0;0;(-38.586235 -3.72388);
365749;2020-12-29 07:57:00;AVENIDA CARNEIRO DE MENDONCA, 293;, ; 293;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.56232846 -3.76617641);
365748;2020-12-29 07:13:00;RUA PDE CICERO, ;AVENIDA JOSE BASTOS, ; ;;;Colisão;Luz do Dia;;;;;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.544887 -3.744462);
365747;2020-12-29 06:47:00;RUA SEN ALENCAR, ;RUA BAR RIO BRANCO, ; ;;;Colisão;Luz do Dia;;;T;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.527752 -3.724879);
364116;2020-12-29 06:30:00;RUA BAR RIO BRANCO, ;RUA SEN ALENCAR, ; ;;;Colisão Transversal;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;0;1;1;1;0;0;0;1;0;0;0;0;0;(-38.527752 -3.724879);
365746;2020-12-29 06:18:00;AVENIDA ALBERTO CRAVEIRO, ;, ; ;;;Queda;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(0 0);
365745;2020-12-29 05:19:00;RUA MIRTES CORDEIRO, 2348;, ; 2348;;;Queda;Amanhecer;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(-38.61094 -3.78513);
365743;2020-12-28 23:25:00;RUA EVILASIO A MIRANDA, 1733;, ; 1733;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365742;2020-12-28 23:12:00;AVENIDA DR SILAS MUNGUBA, 8099;, ; 8099;;;Atropelamento;;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(0 0);
365741;2020-12-28 21:53:00;AVENIDA SGT HERMINIO SAMPAIO, 4020;, ; 4020;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.576765 -3.730539);
364655;2020-12-28 20:50:00;RD CE-040, ;, ; ;;;Colisão;;;;Meio de Quadra;;Longo da via;0;0;2;0;2;0;0;0;0;0;0;0;0;(-38.48033084 -3.791613156);
365205;2020-12-28 19:30:00;AVENIDA PRS CASTELO BRANCO, 5970;, ; 5970;;;Atropelamento;;Bom;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(-38.583889 -3.70186);
365740;2020-12-28 19:23:00;RUA JOAQUIM NABUCO, 250;, ; 250;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.49879 -3.727465);
365204;2020-12-28 18:55:00;AVENIDA RUI BARBOSA, ;RUA TOMAS POMPEU, ; ;;;Colisão Transversal;Via Iluminada;Bom;Seca;Cruz;Pare;Cruzamento;0;2;0;0;1;0;0;0;0;1;0;0;0;(-38.50616 -3.725871);
365739;2020-12-28 18:51:00;AVENIDA BEZERRA DE MENEZES, ;, ; ;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365036;2020-12-28 18:40:00;AVENIDA PRS CASTELO BRANCO, 901;, ; 901;;;Colisão;;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.53134654 -3.719760919);
365178;2020-12-28 18:30:00;RD BR 222, 2300;, ; 2300;;;Atropelamento;Anoitecer;;;Meio de Quadra;;Longo da via;0;1;1;0;0;0;0;1;0;0;0;0;0;(-38.5969961 -3.7403624);
365738;2020-12-28 18:27:00;RUA ALBERTO MAGNO, 72;, ; 72;;;Colisão;Anoitecer;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.54188886 -3.755657857);
365737;2020-12-28 18:21:00;AVENIDA DR SILAS MUNGUBA, 3128;, ; 3128;;;Atropelamento;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(-38.545259 -3.78864);
365736;2020-12-28 18:17:00;AVENIDA OLIVEIRA PAIVA, ;, ; ;;;Colisão;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;1;0;0;0;(0 0);
365735;2020-12-28 18:08:00;AVENIDA BEIRA MAR, 2571;, ; 2571;;;Atropelamento;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;0;0;0;0;0;0;1;0;0;0;(-38.49802 -3.72533);
365734;2020-12-28 17:41:00;AVENIDA N CJ JOSE WALTER, 2198;, ; 2198;;;Colisão;Anoitecer;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
365733;2020-12-28 17:12:00;AVENIDA BEZERRA DE MENEZES, ;RUA PDE ANCHIETA, ; ;;;Colisão;Anoitecer;;;Cruz;Semáforo;Cruzamento;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.552298 -3.733155);
365207;2020-12-28 17:00:00;RUA GABRIEL FIUZA, ;RUA COM GARCIA, ; ;;;Colisão Transversal;Anoitecer;Bom;Seca;Cruz;Pare;Cruzamento;0;1;1;1;1;0;0;0;0;0;0;0;0;(-38.5787 -3.78824);
365732;2020-12-28 16:30:00;AVENIDA IRACEMA (CJ PALMEIRAS), 520;, ; 520;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.5287046 -3.84515063);
365731;2020-12-28 16:25:00;AVENIDA DOM LUIS, 970;, ; 970;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;0;0;0;0;(-38.492507 -3.734829);
365730;2020-12-28 15:27:00;AVENIDA PRS COSTA E SILVA, 5381;, ; 5381;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.5322023 -3.82818998);
365208;2020-12-28 14:45:00;RUA VITAL BRASIL, 1436;, ; 1436;;;Colisão Transversal;Luz do Dia;Bom;Seca;Meio de Quadra;Não Há Controle;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.593884 -3.779174);
365729;2020-12-28 14:41:00;RUA SEN POMPEU, ;AVENIDA DOMINGOS OLIMPIO, ; ;;;Colisão;Luz do Dia;;;Cruz;Semáforo;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.532455 -3.736254);
364654;2020-12-28 12:21:00;RD CE-060, 4505;, ; 4505;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;2;0;0;0;0;0;0;0;0;0;(-38.5795 -3.826136);
