COD_ACIDENTE;DATA;LOG1;LOG2;NUMERO;BAIRRO;AMC;NATUREZA;ILUMINACAO;TEMPO;SUPERFICIEPISTA;TIPOCRUZAMENTO;CONTROLETRAFEGO;USOSOLO;MORTOS;FERIDOS;ILESOS;MOTOCICLETA;AUTOMOVEL;MICROONIBUS;CAMINHAO;ONIBUS;CICLOMOTOR;BICICLETA;OUTROS;TREM;TRACAOANIMAL;COORDENADAS
364127;2020-12-31 19:30:00;AVENIDA GODOFREDO MACIEL, ;, ; ;;;Atropelamento;;;;Meio de Quadra;;Longo da via;1;0;1;0;1;0;0;0;0;0;0;0;0;(-38.574864 -3.814715);
365245;2020-12-31 17:20:00;AVENIDA JOVITA FEITOSA, ;RUA CARVALHO MOTA, ; ;;;Colisão Frontal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.544748 -3.737437);
365807;2020-12-31 16:32:00;AVENIDA PRS CASTELO BRANCO, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(0 0);
364844;2020-12-31 15:35:00;RUA PRO MIRAMAR DA PONTE, ;RUA FLORIANOPOLIS, ; ;;;Colisão;Luz do Dia;;;Cruz;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.58569 -3.76161);
365179;2020-12-31 15:30:00;RD BR 116, 3000;, ; 3000;;;Colisão Traseira;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;2;1;1;0;0;0;0;0;0;0;0;(-38.514372 -3.779838);
365806;2020-12-31 15:04:00;AVENIDA CESAR CALS, 540;, ; 540;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.463641 -3.7226);
365805;2020-12-31 14:52:00;AVENIDA DR THEBERGE, 2288;, ; 2288;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.567178 -3.721534);
365804;2020-12-31 14:38:00;RUA BETEL, ;, ; ;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;0;0;0;0;0;0;0;0;0;(0 0);
365803;2020-12-31 14:17:00;RUA PDE PEDRO DE ALENCAR, ;, ; ;;;Queda;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;1;0;0;0;0;0;0;0;0;0;(0 0);
365802;2020-12-31 13:32:00;RUA BRAGA TORRES, 665;, ; 665;;;Atropelamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.54069 -3.71704);
365244;2020-12-31 13:25:00;RUA CON DE CASTRO, ;RUA ARRUDA CAMARA, ; ;;;Colisão Frontal;Luz do Dia;Bom;Seca;T;Pare;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.58038 -3.792522);
365247;2020-12-31 12:50:00;RUA GUSTAVO BRAGA, ;AVENIDA JOSE BASTOS, ; ;;;Colisão Transversal;Luz do Dia;Bom;Seca;T;Semáforo;Cruzamento;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.551989 -3.751535);
365801;2020-12-31 12:30:00;RD BR 116, 3000;, ; 3000;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;0;1;0;0;0;0;1;0;0;0;(-38.514372 -3.779838);
365800;2020-12-31 11:26:00;RUA CON DE CASTRO, ;RUA MAJ MONTENEGRO, ; ;;;Colisão;Luz do Dia;;;;;Cruzamento;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.58038 -3.792522);
365243;2020-12-31 11:00:00;AVENIDA ENG AGRONOMO JOSE GUIMARAES DUQUE, ;RUA PEDRO LAZAR, ; ;;;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Pare;Cruzamento;0;1;1;0;2;0;0;0;0;0;0;0;0;(-38.4883906 -3.8048829);
365799;2020-12-31 10:26:00;AVENIDA DOMINGOS OLIMPIO, ;RUA JAIME BENEVOLO, ; ;;;Colisão;Luz do Dia;;;Cruz;Semáforo;Cruzamento;0;2;0;0;1;0;0;0;0;1;0;0;0;(-38.527245 -3.73778);
365798;2020-12-31 10:14:00;RUA DOM CARLOTO TAVORA, 636;, ; 636;;;Capotamento;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;1;0;0;0;0;0;0;0;0;(-38.554471 -3.77048889);
365797;2020-12-31 10:00:00;RUA CON DE CASTRO, 2648;, ; 2648;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.580437 -3.79258);
364651;2020-12-31 09:00:00;RD CE-040, ;, ; ;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;1;1;1;0;0;0;0;0;0;0;0;(-38.47873348 -3.809596804);
365796;2020-12-31 08:32:00;RUA PDE ANCHIETA, 621;, ; 621;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;2;0;1;1;0;0;0;0;0;0;0;0;(-38.5512479 -3.72541142);
365795;2020-12-31 07:53:00;RUA OLIVEIRA SOBRINHO, 185;, ; 185;;;Colisão;Luz do Dia;;;Meio de Quadra;;Longo da via;0;1;0;0;0;0;0;0;0;0;0;0;0;(-38.584227 -3.783359);
365246;2020-12-31 07:45:00;RUA CASTRO E SILVA, ;RUA SEN POMPEU, ; ;;;Colisão Transversal;Luz do Dia;Bom;Seca;Cruz;Semáforo;Cruzamento;0;3;1;1;1;0;0;0;0;0;0;0;0;(-38.528597 -3.723468);
